0	0.1126	0.189	0.2294	0.2185	0.2407	0.3527	0.3302	0.2535	0.4031	0.22	0.3365	1.2026	0.3532	0.4838	0.6123
0.1126	0	0.2238	0.2642	0.2533	0.255	0.3875	0.3649	0.3573	0.5048	0.2547	0.3713	1.1832	0.2449	0.3709	0.4994
0.189	0.2238	0	0.0973	0.0295	0.1086	0.2206	0.198	0.1335	0.2831	0.0878	0.2043	1.0826	0.2211	0.3517	0.4802
0.2294	0.2642	0.0973	0	0.1267	0.0113	0.261	0.2384	0.2308	0.3783	0.1282	0.2448	1.0621	0.1238	0.2499	0.3784
0.2185	0.2533	0.0295	0.1267	0	0.1381	0.2364	0.2275	0.104	0.2537	0.1173	0.2338	1.0531	0.2506	0.3811	0.5096
0.2407	0.255	0.1086	0.0113	0.1381	0	0.2723	0.2497	0.2421	0.3896	0.1396	0.2561	1.0508	0.1125	0.2386	0.3671
0.3527	0.3875	0.2206	0.261	0.2364	0.2723	0	0.1462	0.1323	0.1221	0.1328	0.1064	0.9215	0.2961	0.2768	0.4014
0.3302	0.3649	0.198	0.2384	0.2275	0.2497	0.1462	0	0.2514	0.2412	0.1563	0.1077	0.9659	0.1589	0.1537	0.2822
0.2535	0.3573	0.1335	0.2308	0.104	0.2421	0.1323	0.2514	0	0.1496	0.2213	0.2116	0.9491	0.3546	0.3821	0.5067
0.4031	0.5048	0.2831	0.3783	0.2537	0.3896	0.1221	0.2412	0.1496	0	0.25	0.2014	0.7995	0.3911	0.3718	0.3591
0.22	0.2547	0.0878	0.1282	0.1173	0.1396	0.1328	0.1563	0.2213	0.25	0	0.1165	1.0495	0.2521	0.287	0.4116
0.3365	0.3713	0.2043	0.2448	0.2338	0.2561	0.1064	0.1077	0.2116	0.2014	0.1165	0	0.9597	0.2576	0.2383	0.302
1.2026	1.1832	1.0826	1.0621	1.0531	1.0508	0.9215	0.9659	0.9491	0.7995	1.0495	0.9597	0	0.9383	0.8122	0.6837
0.3532	0.2449	0.2211	0.1238	0.2506	0.1125	0.2961	0.1589	0.3546	0.3911	0.2521	0.2576	0.9383	0	0.1261	0.2546
0.4838	0.3709	0.3517	0.2499	0.3811	0.2386	0.2768	0.1537	0.3821	0.3718	0.287	0.2383	0.8122	0.1261	0	0.1285
0.6123	0.4994	0.4802	0.3784	0.5097	0.3671	0.4014	0.2822	0.5067	0.3591	0.4116	0.302	0.6837	0.2546	0.1285	0
