1	0.09	0.28
2	0.12	0.36
3	0.13	0.45
4	0.15	0.44
5	0.22	0.52
6	0.02	0.17
7	0.15	0.62
8	0.15	0.60
9	0.05	0.11
10	0.11	0.29
11	0.28	1.17
12	0.32	1.32
13	0.36	0.97
14	0.11	0.28
15	0.14	0.30
16	0.08	0.17
17	0.24	0.66
18	0.24	0.61
19	0.01	0.02
20	0.01	0.09
21	0.02	0.05
22	0.05	0.23
23	0.11	0.40
24	0.20	0.98
25	0.19	1.05
26	0.13	0.78
27	0.42	2.06
28	0.34	1.53
29	0.36	1.39
30	0.08	0.29
31	0.03	0.10
32	0.50	1.31
33	0.09	0.31
34	0.00	0.03
35	0.08	0.28
36	0.19	0.98
37	0.18	1.14
38	0.28	1.53
39	0.25	1.19
40	0.52	1.52
41	0.40	1.10
42	0.01	0.02
43	0.07	0.17
44	0.07	0.15
45	0.10	0.47
46	0.09	0.24
47	0.09	0.25
48	0.05	0.11
49	0.05	0.12
50	0.07	0.16
51	0.07	0.17
52	0.38	1.28
53	0.24	0.91
54	0.27	0.83
55	0.09	0.44
56	0.21	1.00
57	0.16	0.34
58	0.13	0.33
59	0.10	0.25
60	0.04	0.09
61	0.58	1.60
62	0.32	1.25
63	0.23	0.84
64	0.15	0.76
65	0.13	0.46
66	0.18	0.60
67	0.12	0.32
68	0.52	1.44
69	0.35	1.03
70	0.16	0.62
71	0.13	0.42
72	0.12	0.49
73	0.08	0.31
74	0.18	0.56
75	0.21	0.65
76	0.21	0.95
77	0.17	0.54
78	0.13	0.70
79	0.20	0.69
80	0.11	0.34
81	0.13	0.45
82	0.16	0.60
83	0.08	0.29
84	0.11	0.47
85	0.14	0.43
86	0.16	0.50
87	0.08	0.28
88	0.07	0.34
89	0.07	0.15
90	0.01	0.02
91	0.07	0.29
92	0.02	0.05
93	0.04	0.09
94	0.09	0.39
95	0.02	0.06
96	0.03	0.09
97	0.04	0.05
98	0.04	0.18
99	0.22	0.59
100	0.08	0.51
101	0.10	0.43
102	0.19	0.47
103	0.13	0.49
104	0.18	0.44
105	0.10	0.34
106	0.07	0.41
107	0.02	0.08
108	0.02	0.12
109	0.08	0.43
110	0.03	0.16
111	0.22	0.62
112	0.27	1.20
113	0.16	0.76
114	0.06	0.15
115	0.03	0.10
116	0.12	0.36
117	0.08	0.40
118	0.25	1.05
119	0.12	0.67
120	0.22	0.81
121	0.26	0.88
122	0.18	0.67
123	0.24	0.62
124	0.17	0.62
125	0.05	0.34
126	0.09	0.41
127	0.09	0.35
128	0.14	0.47
129	0.23	0.92
130	0.21	1.08
131	0.21	1.33
132	0.26	1.23
133	0.20	0.93
134	0.31	1.20
135	0.18	0.75
136	0.09	0.40
137	0.05	0.29
138	0.14	0.60
139	0.46	1.85
140	0.46	1.78
141	0.32	0.93
142	0.20	0.64
143	0.08	0.47
144	0.16	0.68
145	0.09	0.46
146	0.12	0.50
147	0.22	0.72
148	0.51	1.48
149	0.29	1.11
150	0.30	0.91
151	0.20	0.59
152	0.09	0.50
153	0.13	0.58
154	0.13	0.33
155	0.17	0.41
156	0.19	0.59
157	0.17	0.60
158	0.14	0.51
159	0.18	0.38
160	0.16	0.40
161	0.10	0.36
162	0.02	0.13
163	0.06	0.20
164	0.05	0.11
165	0.07	0.21
166	0.03	0.16
167	0.03	0.07
168	0.09	0.28
169	0.07	0.15
170	0.06	0.18
171	0.20	0.46
172	0.19	0.46
173	0.08	0.18
174	0.05	0.10
175	0.12	0.28
176	0.10	0.41
177	0.18	0.54
178	0.03	0.13
179	0.09	0.41
180	0.03	0.09
181	0.05	0.13
182	0.16	0.42
183	0.07	0.16
184	0.07	0.22
185	0.03	0.07
186	0.08	0.34
187	0.08	0.19
188	0.03	0.10
189	0.06	0.25
190	0.05	0.13
