0	0.1126	0.4606	0.5965	0.189	0.2294	0.5408	0.6672	0.795	0.2185	0.2407	0.3527	0.3302	0.5361	0.6073	0.7608	0.5011	0.5051	0.7175	0.7445	0.8832	0.848	0.8901	1.0209	1.1478	1.2641	0.9705	1.0069	1.1416	1.2915	0.2535	0.4031	0.5321	0.673	0.7997	0.22	0.3365	1.2026	0.3532	0.4838	0.6123	0.7917	0.8976	0.5194	0.6018	0.757	0.8699	1.4597	0.6635	0.7443	0.8737	1.002	1.1527	0.7987	0.8712	1.0188	1.1443	1.294
0.1126	0	0.3479	0.4839	0.2238	0.2642	0.4281	0.5546	0.6823	0.2533	0.255	0.3875	0.3649	0.4277	0.4947	0.6482	0.5359	0.5168	0.6046	0.6319	0.7705	0.735	0.7775	0.9083	1.0352	1.1514	0.8576	0.8942	1.0289	1.1788	0.3573	0.5048	0.6337	0.7747	0.9013	0.2547	0.3713	1.1832	0.2449	0.3709	0.4994	0.6788	0.7846	0.4067	0.4891	0.6444	0.7573	1.3471	0.5509	0.6316	0.7611	0.8894	1.0401	0.6861	0.7585	0.9061	1.0317	1.1814
0.4606	0.3479	0	0.1359	0.5215	0.4243	0.2399	0.2399	0.3626	0.551	0.413	0.6563	0.5191	0.3806	0.3813	0.3768	0.7819	0.6321	0.5517	0.5188	0.5212	0.6399	0.6375	0.6747	0.7898	0.9025	0.8744	0.7913	0.7953	0.9335	0.655	0.7513	0.8783	1.0123	1.139	0.5525	0.6178	1.2985	0.4008	0.4862	0.6147	0.7941	0.8999	0.2542	0.3862	0.5414	0.6543	1.1184	0.2362	0.3823	0.5118	0.6558	0.8065	0.3663	0.5005	0.6491	0.7863	0.936
0.5965	0.4839	0.1359	0	0.6575	0.5602	0.2387	0.2366	0.2266	0.6869	0.5489	0.7922	0.655	0.512	0.3801	0.3603	0.9179	0.768	0.6792	0.5176	0.5073	0.766	0.6363	0.6424	0.6539	0.7666	0.9957	0.7963	0.7941	0.7975	0.791	0.8872	1.0143	1.1483	1.2749	0.6884	0.7537	1.4344	0.5368	0.6222	0.7507	0.9301	1.0358	0.3856	0.5137	0.669	0.7804	1.0379	0.235	0.3811	0.5106	0.6546	0.8053	0.2303	0.3645	0.5131	0.6504	0.8001
0.189	0.2238	0.5215	0.6575	0	0.0973	0.4833	0.6098	0.7375	0.0295	0.1086	0.2206	0.198	0.4039	0.5143	0.6678	0.369	0.373	0.5854	0.6515	0.7902	0.7158	0.7971	0.9279	1.0548	1.1711	0.8384	0.9139	1.0486	1.1985	0.1335	0.2831	0.4121	0.553	0.6797	0.0878	0.2043	1.0826	0.2211	0.3517	0.4802	0.6596	0.7654	0.4619	0.5088	0.664	0.7769	1.3667	0.6061	0.6513	0.7807	0.909	1.0597	0.7413	0.7782	0.9258	1.0513	1.201
0.2294	0.2642	0.4243	0.5602	0.0973	0	0.3861	0.5125	0.6403	0.1267	0.0113	0.261	0.2384	0.3066	0.4171	0.5706	0.4094	0.3957	0.4836	0.5543	0.6929	0.614	0.6999	0.8306	0.9576	1.0738	0.7365	0.8166	0.9513	1.1012	0.2308	0.3783	0.5072	0.6482	0.7748	0.1282	0.2448	1.0621	0.1238	0.2499	0.3784	0.5578	0.6635	0.3647	0.4115	0.5667	0.6796	1.2694	0.5088	0.554	0.6835	0.8117	0.9624	0.644	0.6809	0.8285	0.9541	1.1038
0.5408	0.4282	0.2399	0.2387	0.4833	0.3861	0	0.1265	0.2542	0.5128	0.3747	0.5827	0.4456	0.2732	0.2679	0.2634	0.7084	0.5585	0.4443	0.4053	0.4078	0.5326	0.5241	0.5612	0.6815	0.7942	0.767	0.6841	0.6819	0.8251	0.6169	0.6777	0.8048	0.9388	1.0655	0.5143	0.5442	1.2249	0.3431	0.4127	0.5412	0.7206	0.8264	0.1469	0.2788	0.4341	0.547	1.005	0.1227	0.2689	0.3984	0.5423	0.693	0.2579	0.3921	0.5407	0.678	0.8277
0.6673	0.5546	0.2399	0.2366	0.6098	0.5125	0.1265	0	0.1278	0.6393	0.5012	0.7092	0.572	0.3997	0.2679	0.2615	0.8349	0.685	0.5669	0.4053	0.4078	0.6538	0.5241	0.5436	0.555	0.6677	0.8835	0.6841	0.6819	0.6987	0.7433	0.8042	0.9313	1.0653	1.1919	0.6408	0.6707	1.3514	0.4696	0.5392	0.6676	0.847	0.9528	0.2733	0.4014	0.5567	0.6681	0.939	0.1227	0.2689	0.3983	0.5423	0.693	0.1315	0.2657	0.4143	0.5515	0.7012
0.795	0.6824	0.3626	0.2266	0.7375	0.6403	0.2542	0.1278	0	0.767	0.629	0.837	0.6998	0.5275	0.3956	0.2515	0.9626	0.8127	0.6947	0.5331	0.3985	0.7815	0.6518	0.5336	0.545	0.5407	1.0112	0.8118	0.6901	0.6887	0.8711	0.932	1.059	1.193	1.3197	0.7686	0.7984	1.4792	0.5974	0.6669	0.7954	0.9748	1.0806	0.4011	0.5292	0.6845	0.7959	0.929	0.2505	0.3966	0.5261	0.6701	0.8208	0.1215	0.2557	0.4043	0.5415	0.6912
0.2185	0.2533	0.551	0.6869	0.0295	0.1267	0.5128	0.6393	0.767	0	0.1381	0.2364	0.2275	0.4334	0.5438	0.6973	0.3575	0.4024	0.6149	0.681	0.8196	0.7453	0.8266	0.9574	1.0843	1.2006	0.8679	0.9434	1.078	1.2279	0.104	0.2537	0.3826	0.5236	0.6502	0.1173	0.2338	1.0531	0.2506	0.3811	0.5096	0.689	0.7949	0.4914	0.5382	0.6935	0.8064	1.3962	0.6355	0.6808	0.8102	0.9385	1.0892	0.7707	0.8077	0.9552	1.0808	1.2305
0.2407	0.255	0.413	0.5489	0.1086	0.0113	0.3747	0.5012	0.629	0.1381	0	0.2723	0.2497	0.2953	0.4057	0.5592	0.4207	0.3844	0.4723	0.543	0.6816	0.6027	0.6886	0.8193	0.9463	1.0625	0.7252	0.8053	0.94	1.0899	0.2421	0.3896	0.5185	0.6595	0.7861	0.1396	0.2561	1.0508	0.1125	0.2386	0.3671	0.5465	0.6522	0.3534	0.4002	0.5554	0.6683	1.2581	0.4975	0.5427	0.6722	0.8004	0.9511	0.6327	0.6696	0.8172	0.9427	1.0925
0.3527	0.3875	0.6563	0.7922	0.2206	0.261	0.5827	0.7092	0.837	0.2364	0.2723	0	0.1462	0.3544	0.5112	0.652	0.2259	0.2962	0.5066	0.6285	0.7661	0.637	0.7667	0.8975	1.0244	1.1407	0.7596	0.8787	1.0137	1.1681	0.1323	0.1221	0.251	0.392	0.5186	0.1328	0.1064	0.9215	0.2961	0.2768	0.4014	0.5808	0.6866	0.5044	0.4902	0.641	0.7465	1.3282	0.6436	0.6334	0.7567	0.8786	1.0248	0.7733	0.7603	0.9017	1.0209	1.1706
0.3302	0.3649	0.5191	0.655	0.198	0.2384	0.4456	0.572	0.6998	0.2275	0.2497	0.1462	0	0.2306	0.3873	0.5282	0.2719	0.2758	0.3874	0.5091	0.6468	0.5178	0.6475	0.7783	0.9052	1.0214	0.6403	0.7595	0.8944	1.0488	0.2514	0.2412	0.3682	0.5092	0.6359	0.1563	0.1077	0.9659	0.1589	0.1537	0.2822	0.4616	0.5673	0.3806	0.3664	0.5216	0.6273	1.209	0.5198	0.5095	0.6373	0.7594	0.9056	0.6495	0.6364	0.7824	0.9017	1.0514
0.5361	0.4277	0.3806	0.512	0.4039	0.3066	0.2732	0.3997	0.5275	0.4334	0.2953	0.3544	0.2306	0	0.1568	0.2976	0.4801	0.3304	0.3013	0.2786	0.4162	0.3896	0.4242	0.5549	0.6819	0.7981	0.624	0.5409	0.6756	0.8255	0.4597	0.4494	0.5765	0.7107	0.8374	0.3646	0.3159	0.9968	0.1828	0.1846	0.3131	0.4925	0.5983	0.15	0.1358	0.2911	0.4039	0.9937	0.2892	0.279	0.4068	0.536	0.6867	0.4189	0.4058	0.5518	0.6784	0.8281
