1	0.09	0.28
2	0.12	0.36
3	0.13	0.45
4	0.15	0.44
5	0.22	0.52
6	0.02	0.17
9	0.05	0.11
10	0.11	0.29
11	0.28	1.17
12	0.32	1.32
13	0.36	0.97
14	0.11	0.28
22	0.05	0.23
23	0.11	0.4
24	0.2	0.98
25	0.19	1.05
26	0.13	0.78
27	0.42	2.06
28	0.34	1.53
29	0.36	1.39
30	0.08	0.29
34	0	0.03
36	0.19	0.98
37	0.18	1.14
38	0.28	1.53
39	0.25	1.19
40	0.52	1.52
41	0.4	1.1
42	0.01	0.02
43	0.07	0.17
44	0.07	0.15
50	0.05	0.12
53	0.38	1.28
54	0.24	0.91
55	0.27	0.83
56	0.09	0.44
57	0.21	1
58	0.16	0.34
59	0.13	0.33
62	0.58	1.6
63	0.32	1.25
64	0.23	0.84
65	0.15	0.76
66	0.13	0.46
67	0.18	0.6
69	0.52	1.44
70	0.35	1.03
71	0.16	0.62
72	0.13	0.42
73	0.12	0.49
74	0.08	0.31
75	0.18	0.56
76	0.21	0.65
77	0.21	0.95
78	0.17	0.54
79	0.13	0.7
80	0.2	0.69
81	0.11	0.34
82	0.13	0.45
83	0.16	0.6
84	0.08	0.29
85	0.11	0.47
93	0.02	0.05
97	0.03	0.09
98	0.04	0.05
99	0.04	0.18
100	0.22	0.59
101	0.08	0.51
102	0.1	0.43
103	0.19	0.47
104	0.13	0.49
105	0.18	0.44
106	0.1	0.34
112	0.22	0.62
113	0.27	1.2
114	0.16	0.76
115	0.06	0.15
117	0.12	0.36
118	0.08	0.4
119	0.25	1.05
120	0.12	0.67
121	0.22	0.81
122	0.26	0.88
123	0.18	0.67
124	0.24	0.62
129	0.14	0.47
130	0.23	0.92
131	0.21	1.08
132	0.21	1.33
133	0.26	1.23
134	0.2	0.93
135	0.31	1.2
136	0.18	0.75
139	0.14	0.6
140	0.46	1.85
141	0.46	1.78
142	0.32	0.93
143	0.2	0.64
144	0.08	0.47
145	0.16	0.68
146	0.09	0.46
148	0.22	0.72
149	0.51	1.48
150	0.29	1.11
151	0.3	0.91
152	0.2	0.59
153	0.09	0.5
154	0.13	0.58
155	0.13	0.33
156	0.17	0.41
157	0.19	0.59
158	0.17	0.6
159	0.14	0.51
160	0.18	0.38
161	0.16	0.4
162	0.1	0.36
163	0.02	0.13
164	0.06	0.2
165	0.05	0.11
166	0.07	0.21
167	0.03	0.16
168	0.03	0.07
169	0.09	0.28
170	0.07	0.15
180	0.09	0.41
181	0.03	0.09
