0	0.1126	0.4606	0.5965	0.7282	0.8487	0.189	0.2294	0.5408	0.6672	0.795	0.9145	0.2185	0.2407	0.3527	0.3302	0.5361	0.6073	0.7608	0.9097	0.9934	0.5011	0.5051	0.7175	0.7445	0.8832	1.0218	1.0755	1.1302	0.848	0.8901	1.0209	1.1478	1.2641	1.3731	0.9705	1.1416	1.2915	1.4474	0.2535	0.4031	0.5321	0.673	0.7997	0.22	0.3365	1.2026	0.3532	0.4838	0.6123	0.7917	0.8976	0.5194	0.6018	0.757	0.8699	1.4597	0.6635	0.7443	0.8737	1.002	1.1527	0.7987	0.8712	1.0188	1.1443	1.294	0.9372	1.0121	1.1534	1.2859	1.4296	1.0117
0.1126	0	0.3479	0.4839	0.6156	0.736	0.2238	0.2642	0.4281	0.5546	0.6823	0.8019	0.2533	0.255	0.3875	0.3649	0.4277	0.4947	0.6482	0.7971	0.8807	0.5359	0.5168	0.6046	0.6319	0.7705	0.9091	0.9629	1.0176	0.735	0.7775	0.9083	1.0352	1.1514	1.2604	0.8576	1.0289	1.1788	1.3348	0.3573	0.5048	0.6337	0.7747	0.9013	0.2547	0.3713	1.1832	0.2449	0.3709	0.4994	0.6788	0.7846	0.4067	0.4891	0.6444	0.7573	1.3471	0.5509	0.6316	0.7611	0.8894	1.0401	0.6861	0.7585	0.9061	1.0317	1.1814	0.8245	0.8994	1.0408	1.1732	1.3169	0.8991
0.4606	0.3479	0	0.1359	0.2677	0.3881	0.5215	0.4243	0.2399	0.2399	0.3626	0.4799	0.551	0.413	0.6563	0.5191	0.3806	0.3813	0.3768	0.5218	0.6231	0.7819	0.6321	0.5517	0.5188	0.5212	0.6521	0.7053	0.76	0.6399	0.6375	0.6747	0.7898	0.9025	1.0163	0.8744	0.7953	0.9335	1.0858	0.655	0.7513	0.8783	1.0123	1.139	0.5525	0.6178	1.2985	0.4008	0.4862	0.6147	0.7941	0.8999	0.2542	0.3862	0.5414	0.6543	1.1184	0.2362	0.3823	0.5118	0.6558	0.8065	0.3663	0.5005	0.6491	0.7863	0.936	0.5026	0.6418	0.7832	0.9243	1.068	0.5771
0.5965	0.4839	0.1359	0	0.1317	0.2522	0.6575	0.5602	0.2387	0.2366	0.2266	0.344	0.6869	0.5489	0.7922	0.655	0.512	0.3801	0.3603	0.3859	0.4872	0.9179	0.768	0.6792	0.5176	0.5073	0.5161	0.5694	0.624	0.766	0.6363	0.6424	0.6539	0.7666	0.8804	0.9957	0.7941	0.7975	0.9499	0.791	0.8872	1.0143	1.1483	1.2749	0.6884	0.7537	1.4344	0.5368	0.6222	0.7507	0.9301	1.0358	0.3856	0.5137	0.669	0.7804	1.0379	0.235	0.3811	0.5106	0.6546	0.8053	0.2303	0.3645	0.5131	0.6504	0.8001	0.3666	0.5059	0.6472	0.7883	0.932	0.4412
0.7282	0.6156	0.2677	0.1317	0	0.1205	0.7892	0.6919	0.3704	0.2474	0.2374	0.2123	0.8187	0.6806	0.9239	0.7867	0.6437	0.5118	0.3711	0.3967	0.3541	1.0496	0.8997	0.8109	0.6493	0.5181	0.511	0.4363	0.4909	0.8977	0.768	0.6532	0.6647	0.6334	0.7473	1.1275	0.8098	0.7921	0.8168	0.9227	1.0189	1.146	1.28	1.4067	0.8202	0.8854	1.5661	0.6685	0.7539	0.8824	1.0618	1.1676	0.5173	0.6454	0.8007	0.9121	1.0487	0.3667	0.5129	0.6423	0.7863	0.937	0.2411	0.3753	0.5239	0.6612	0.8109	0.2349	0.3728	0.5141	0.6552	0.7989	0.3095
0.8487	0.736	0.3881	0.2522	0.1205	0	0.9097	0.8124	0.4909	0.3679	0.2421	0.1999	0.9391	0.8011	1.0444	0.9072	0.7641	0.6323	0.4916	0.3865	0.3058	1.1701	1.0202	0.9314	0.7698	0.6372	0.4986	0.4239	0.4786	1.0182	0.8885	0.7723	0.6573	0.6211	0.698	1.2479	0.9289	0.7798	0.8044	1.0432	1.1394	1.2665	1.4005	1.5271	0.9406	1.0059	1.6866	0.7889	0.8744	1.0028	1.1822	1.288	0.6378	0.7659	0.9211	1.0326	1.1678	0.4872	0.6333	0.7628	0.9068	1.0575	0.3616	0.4958	0.643	0.7803	0.93	0.2225	0.3604	0.5018	0.6429	0.7865	0.2226
0.189	0.2238	0.5215	0.6575	0.7892	0.9097	0	0.0973	0.4833	0.6098	0.7375	0.8571	0.0295	0.1086	0.2206	0.198	0.4039	0.5143	0.6678	0.8167	0.9004	0.369	0.373	0.5854	0.6515	0.7902	0.9288	0.9825	1.0372	0.7158	0.7971	0.9279	1.0548	1.1711	1.28	0.8384	1.0486	1.1985	1.3544	0.1335	0.2831	0.4121	0.553	0.6797	0.0878	0.2043	1.0826	0.2211	0.3517	0.4802	0.6596	0.7654	0.4619	0.5088	0.664	0.7769	1.3667	0.6061	0.6513	0.7807	0.909	1.0597	0.7413	0.7782	0.9258	1.0513	1.201	0.8797	0.9191	1.0604	1.1929	1.3366	0.9543
0.2294	0.2642	0.4243	0.5602	0.6919	0.8124	0.0973	0	0.3861	0.5125	0.6403	0.7598	0.1267	0.0113	0.261	0.2384	0.3066	0.4171	0.5706	0.7194	0.8031	0.4094	0.3957	0.4836	0.5543	0.6929	0.8315	0.8853	0.9399	0.614	0.6999	0.8306	0.9576	1.0738	1.1828	0.7365	0.9513	1.1012	1.2572	0.2308	0.3783	0.5072	0.6482	0.7748	0.1282	0.2448	1.0621	0.1238	0.2499	0.3784	0.5578	0.6635	0.3647	0.4115	0.5667	0.6796	1.2694	0.5088	0.554	0.6835	0.8117	0.9624	0.644	0.6809	0.8285	0.9541	1.1038	0.7824	0.8218	0.9631	1.0956	1.2393	0.857
0.5408	0.4282	0.2399	0.2387	0.3704	0.4909	0.4833	0.3861	0	0.1265	0.2542	0.3738	0.5128	0.3747	0.5827	0.4456	0.2732	0.2679	0.2634	0.4135	0.5148	0.7084	0.5585	0.4443	0.4053	0.4078	0.5437	0.597	0.6516	0.5326	0.5241	0.5612	0.6815	0.7942	0.908	0.767	0.6819	0.8251	0.9775	0.6169	0.6777	0.8048	0.9388	1.0655	0.5143	0.5442	1.2249	0.3431	0.4127	0.5412	0.7206	0.8264	0.1469	0.2788	0.4341	0.547	1.005	0.1227	0.2689	0.3984	0.5423	0.693	0.2579	0.3921	0.5407	0.678	0.8277	0.3964	0.5335	0.6748	0.8159	0.9596	0.4709
0.6673	0.5546	0.2399	0.2366	0.2474	0.3679	0.6098	0.5125	0.1265	0	0.1278	0.2473	0.6393	0.5012	0.7092	0.572	0.3997	0.2679	0.2615	0.287	0.3883	0.8349	0.685	0.5669	0.4053	0.4078	0.4173	0.4705	0.5252	0.6538	0.5241	0.5436	0.555	0.6677	0.7815	0.8835	0.6819	0.6987	0.8511	0.7433	0.8042	0.9313	1.0653	1.1919	0.6408	0.6707	1.3514	0.4696	0.5392	0.6676	0.847	0.9528	0.2733	0.4014	0.5567	0.6681	0.939	0.1227	0.2689	0.3983	0.5423	0.693	0.1315	0.2657	0.4143	0.5515	0.7012	0.2699	0.407	0.5484	0.6895	0.8332	0.3445
